"","word","n"
"1","call",590
"2","2",533
"3","ur",391
"4","4",327
"5","gt",318
"6","lt",316
"7","free",284
"8","ll",270
"9","day",232
"10","time",221
"11","love",215
"12","send",200
"13","text",193
"14","txt",177
"15","1",173
"16","ü",173
"17","don",170
"18","home",167
"19","lor",162
"20","stop",158
"21","da",150
"22","dont",149
"23","reply",148
"24","mobile",142
"25","pls",134
"26","phone",126
"27","week",124
"28","dear",122
"29","night",118
"30","hope",114
"31","hey",112
"32","claim",111
"33","msg",111
"34","happy",108
"35","wat",107
"36","3",106
"37","www",100
"38","ve",99
"39","message",96
"40","tomorrow",93
"41","won",92
"42","prize",91
"43","amp",88
"44","cash",88
"45","yeah",87
"46","im",86
"47","life",84
"48","meet",83
"49","miss",80
"50","babe",79
"51","morning",79
"52","cos",76
"53","win",76
"54","uk",75
"55","lol",74
"56","care",73
"57","150p",71
"58","pick",71
"59","nokia",70
"60","urgent",69
"61","buy",67
"62","contact",67
"63","gud",67
"64","min",67
"65","wait",66
"66","5",65
"67","feel",62
"68","nice",62
"69","50",61
"70","money",60
"71","service",60
"72","tone",60
"73","tonight",60
"74","late",59
"75","chat",58
"76","customer",58
"77","sleep",58
"78","ya",58
"79","leave",57
"80","dun",55
"81","friends",55
"82","sms",55
"83","wan",55
"84","16",54
"85","told",54
"86","special",53
"87","waiting",53
"88","fine",52
"89","friend",52
"90","coming",51
"91","haha",51
"92","guaranteed",50
"93","people",50
"94","thk",50
"95","18",49
"96","6",49
"97","heart",49
"98","didn",48
"99","mins",48
"100","god",47
"101","holiday",47
"102","7",46
"103","live",46
"104","lunch",46
"105","bit",45
"106","class",45
"107","person",45
"108","smile",45
"109","stuff",45
"110","talk",45
"111","500",44
"112","days",44
"113","cool",43
"114","house",43
"115","ill",43
"116","job",43
"117","line",43
"118","meeting",43
"119","yup",43
"120","cs",42
"121","draw",42
"122","finish",42
"123","mind",42
"124","ready",42
"125","10",41
"126","100",41
"127","1000",41
"128","car",41
"129","cost",41
"130","dat",41
"131","account",40
"132","enjoy",40
"133","wk",40
"134","chance",39
"135","check",39
"136","half",39
"137","lot",39
"138","month",39
"139","play",39
"140","real",39
"141","sir",39
"142","yo",39
"143","1st",38
"144","awarded",38
"145","box",38
"146","camera",38
"147","eat",38
"148","guess",38
"149","lar",38
"150","luv",38
"151","receive",38
"152","start",38
"153","word",38
"154","world",38
"155","bt",37
"156","guys",37
"157","liao",37
"158","shit",37
"159","ah",36
"160","birthday",36
"161","dinner",36
"162","girl",36
"163","sweet",36
"164","jus",35
"165","po",35
"166","xxx",35
"167","landline",34
"168","offer",34
"169","video",34
"170","watching",34
"171","wont",34
"172","aight",33
"173","called",33
"174","pa",33
"175","speak",33
"176","tv",33
"177","watch",33
"178","weekend",33
"179","9",32
"180","apply",32
"181","bad",32
"182","bed",32
"183","boy",32
"184","calls",32
"185","den",32
"186","forgot",32
"187","hear",32
"188","left",32
"189","minutes",32
"190","pay",32
"191","plan",32
"192","princess",32
"193","rate",32
"194","remember",32
"195","ringtone",32
"196","sat",32
"197","150ppm",31
"198","baby",31
"199","code",31
"200","dunno",31
"201","easy",31
"202","fun",31
"203","kiss",31
"204","office",31
"205","orange",31
"206","reach",31
"207","shopping",31
"208","didnt",30
"209","dis",30
